stock_name,daily_profit,day_min_price,day_max_price,day_final_price,date,buyers_in_day,volumn_of_buy_in_day,persons_num_of_buyers,company_num_of_buyers,persons_amount_of_buy,company_amount_of_buy,persons_num_of_seller,company_num_of_seller,persons_amount_of_sells,company_amount_of_sells
سمتاز,2.94,34540.00,35115.00,35095.00,1399-03-26,0,821001,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,1.68,32525.00,34535.00,34093.00,1399-03-25,462,M 1.341,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.22,33786.00,33786.00,33530.00,1399-03-24,35,451269,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,3.00,32802.00,32802.00,32802.00,1399-03-21,212,700000,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.97,31500.00,31856.00,31847.00,1399-03-20,313,717807,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.97,30337.00,30937.00,30929.00,1399-03-19,306,988309,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,1.98,30337.00,30337.00,30036.00,1399-03-18,19,456655,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,1.97,29180.00,29751.00,29454.00,1399-03-17,125,477236,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.53,28747.00,29399.00,28885.00,1399-03-13,374,928511,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-0.77,28970.00,29800.00,29636.00,1399-03-12,84,179981,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-0.61,29146.00,30036.00,29865.00,1399-03-11,81,150604,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.39,29500.00,30225.00,30047.00,1399-03-10,139,696873,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.21,28813.00,30200.00,29345.00,1399-03-07,106,487973,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.35,29206.00,29300.00,29704.00,1399-03-06,68,289885,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.84,30059.00,30702.00,30109.00,1399-03-03,150,744855,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.41,30490.00,31400.00,30988.00,1399-02-31,0,313279,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-0.79,30732.00,32627.00,31432.00,1399-02-30,258,675454,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,3.17,29194.00,32245.00,31682.00,1399-02-29,0,M 1.463,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.72,30309.00,30309.00,30710.00,1399-02-28,53,362597,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-1.05,30631.00,31700.00,31246.00,1399-02-27,91,231740,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,-2.65,31464.00,32500.00,31578.00,1399-02-24,333,M 1.289,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,0.15,31416.00,33358.00,32437.00,1399-02-23,647,M 2.326,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.52,33169.00,33169.00,32387.00,1399-02-22,4,338593,171,1, 373692B, 30000,200,0, 403692B, 0
سمتاز,2.91,31618.00,31618.00,31590.00,1399-02-21,109,650304,171,1, 373692B, 30000,200,0, 403692B, 0
خمهر,-2.91,14030.00,15470.00,14330.00,1399-05-15,4269,M 45.477,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,3.22,13800.00,15010.00,14760.00,1399-05-14,1168,M 33.409,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-0.63,13900.00,14800.00,14300.00,1399-05-13,2518,M 16.467,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,0.77,13570.00,14990.00,14390.00,1399-05-12,3935,M 52.3,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,1.64,13800.00,14660.00,14280.00,1399-05-11,3978,M 24.918,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-3.90,13890.00,15000.00,14050.00,1399-05-08,3328,M 37.61,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-4.01,14470.00,15220.00,14620.00,1399-05-07,3655,M 57.586,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-2.81,14890.00,14890.00,15230.00,1399-05-06,0,M 1.649,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-2.97,15350.00,15350.00,15670.00,1399-05-05,709,M 1.783,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-5.00,16150.00,16150.00,16150.00,1399-05-04,1761,M 10.092,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-3.90,16810.00,16980.00,17000.00,1399-05-01,809,M 2.381,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,3.03,17100.00,17910.00,17690.00,1399-04-30,999,M 3.298,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-1.09,16500.00,17790.00,17170.00,1399-04-29,7035,M 36.258,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,1.88,16190.00,17830.00,17360.00,1399-04-28,7964,M 35.147,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,3.52,15840.00,17280.00,17040.00,1399-04-25,4708,M 28.904,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,7.09,16150.00,17000.00,16460.00,1399-04-24,2855,M 18.955,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,2.81,14960.00,15690.00,15370.00,1399-04-21,1640,M 19.287,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,3.60,13710.00,15150.00,14950.00,1399-04-18,0,M 63.796,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.95,14430.00,14430.00,14430.00,1399-04-17,125,M 4.447,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.96,13750.00,13750.00,13750.00,1399-04-16,111,M 3.99,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,2.99,12170.00,13350.00,13100.00,1399-04-15,902,M 17.393,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-0.70,12170.00,13440.00,12720.00,1399-04-14,0,M 35.379,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.66,12500.00,12850.00,12810.00,1399-04-11,2484,M 22.963,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.70,11920.00,12270.00,12240.00,1399-04-10,0,M 11.297,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-4.88,11680.00,11970.00,11690.00,1399-04-09,2110,M 27.014,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-3.46,12100.00,13350.00,12290.00,1399-04-08,2697,M 28.291,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.86,12530.00,12740.00,12730.00,1399-04-07,1673,M 21.721,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-3.50,11960.00,12480.00,12140.00,1399-04-04,2384,M 23.965,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,3.80,12010.00,12720.00,12580.00,1399-04-03,0,M 29.597,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-3.19,11900.00,12450.00,12120.00,1399-04-02,4067,M 36.146,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,0.24,12000.00,13100.00,12520.00,1399-04-01,4331,M 34.154,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.96,12100.00,12490.00,12490.00,1399-03-31,1364,M 13.739,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.94,11600.00,11900.00,11900.00,1399-03-27,813,M 8.192,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,3.75,10620.00,11470.00,11340.00,1399-03-26,0,M 25.62,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-4.37,10860.00,11500.00,10930.00,1399-03-25,0,M 38.039,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,3.98,11080.00,11540.00,11430.00,1399-03-24,1490,M 13.408,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.34,10800.00,11061.00,10992.00,1399-03-21,1857,M 22.58,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-4.08,10434.00,10980.00,10535.00,1399-03-20,0,M 21.867,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-1.93,10640.00,11758.00,10983.00,1399-03-19,2229,M 21.314,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.69,10952.00,11231.00,11199.00,1399-03-18,0,M 7.951,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.19,10380.00,10780.00,10697.00,1399-03-17,1723,M 17.409,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,3.76,9702.00,10389.00,10267.00,1399-03-13,2187,M 27.121,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-3.75,9767.00,10400.00,9895.00,1399-03-12,1588,M 17.472,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-0.42,9808.00,10840.00,10281.00,1399-03-11,2206,M 25.802,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,4.72,10000.00,10351.00,10324.00,1399-03-10,1770,M 19.171,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-1.44,9503.00,10500.00,9859.00,1399-03-07,1888,M 27.559,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-2.66,9763.00,9763.00,10003.00,1399-03-06,394,M 2.507,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-3.30,10096.00,10885.00,10276.00,1399-03-03,1953,M 15.885,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-2.78,10385.00,11303.00,10627.00,1399-02-31,3639,M 49.879,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
خمهر,-2.76,10679.00,11750.00,10931.00,1399-02-30,4675,M 44.731,4269,6, 43.176M, 2.301,2765,0, 45.477M, 0
ثشاهد,1.99,62960.00,69580.00,67590.00,1399-05-15,25559,M 80.51,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,3.27,61000.00,67370.00,66270.00,1399-05-14,23709,M 80.993,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.38,64550.00,64550.00,64170.00,1399-05-13,84,M 1.406,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.65,61680.00,61680.00,61480.00,1399-05-12,195,M 1.495,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,3.74,59460.00,59460.00,58750.00,1399-05-08,100,M 1.199,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.99,56630.00,56630.00,56630.00,1399-05-07,91,M 2.46,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.98,53940.00,53940.00,53940.00,1399-05-06,0,M 3.407,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.99,51380.00,51380.00,51380.00,1399-05-05,89,M 2.113,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.22,49300.00,49300.00,48940.00,1399-05-04,70,M 1.358,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.73,47080.00,47080.00,46960.00,1399-05-01,38,M 1.518,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.67,44980.00,44980.00,44840.00,1399-04-31,72,M 1.496,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.87,42890.00,42890.00,42840.00,1399-04-30,53,M 1.566,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.99,40850.00,40850.00,40850.00,1399-04-29,67,M 1.697,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.99,38910.00,38910.00,38910.00,1399-04-28,44,M 2.307,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,1.26,38430.00,38430.00,37060.00,1399-04-23,0,403476,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.04,36930.00,36930.00,36600.00,1399-04-22,46,M 1.304,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.98,35180.00,35180.00,35180.00,1399-04-21,2838,M 11.614,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.43,31100.00,33690.00,33510.00,1399-04-18,0,M 44.984,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.19,32340.00,32340.00,32090.00,1399-04-17,29,M 1.528,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.02,31090.00,31090.00,30800.00,1399-04-16,67,M 1.467,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,2.53,30320.00,30320.00,29610.00,1399-04-15,44,916581,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.98,28880.00,28880.00,28880.00,1399-04-14,0,M 5.854,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,2.92,28060.00,28060.00,27510.00,1399-04-11,38,M 1.258,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,3.85,27020.00,27020.00,26730.00,1399-04-10,29,M 1.661,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,2.71,24100.00,26310.00,25740.00,1399-04-09,3013,M 25.796,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,2.29,23280.00,25720.00,25060.00,1399-04-08,0,M 148.51,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.97,24500.00,24500.00,24500.00,1399-04-07,680,M 7.723,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.99,23340.00,23340.00,23340.00,1399-04-01,614,M 13.15,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.96,22230.00,22230.00,22230.00,1399-03-31,1234,M 15.302,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.85,20200.00,21210.00,21180.00,1399-03-27,3418,M 36.624,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.99,20200.00,20200.00,20200.00,1399-03-26,0,M 13.374,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.96,19240.00,19240.00,19240.00,1399-03-25,107,M 7.235,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,1.61,18940.00,18940.00,18330.00,1399-03-24,19,895527,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,5.00,18040.00,18040.00,18040.00,1399-03-21,103,M 6.247,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,3.16,17486.00,17486.00,17181.00,1399-03-20,0,M 2.185,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.96,15074.00,16660.00,16654.00,1399-03-19,2037,M 45.385,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.26,15978.00,15978.00,15867.00,1399-03-18,0,M 2.944,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.99,15000.00,15219.00,15218.00,1399-03-17,1618,M 23.93,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,3.67,13980.00,14681.00,14495.00,1399-03-13,1687,M 62.997,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,-4.99,13982.00,13982.00,13982.00,1399-03-12,991,M 6.107,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,-4.89,14701.00,14701.00,14717.00,1399-03-11,911,M 3.007,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,-5.00,15474.00,15474.00,15474.00,1399-03-10,1835,M 12.47,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,1.61,15229.00,16831.00,16288.00,1399-03-07,3835,M 59.225,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,5.00,16030.00,16030.00,16030.00,1399-02-31,0,M 5.147,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,5.00,15267.00,15267.00,15267.00,1399-02-30,1243,M 24.216,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,5.00,14540.00,14540.00,14540.00,1399-02-29,0,M 8.941,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,0.56,13083.00,14459.00,13848.00,1399-02-28,2230,M 60.59,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,-1.22,13244.00,14638.00,13771.00,1399-02-27,3991,M 58.855,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,3.90,14088.00,14088.00,13941.00,1399-02-24,52,M 3.276,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
ثشاهد,4.36,12250.00,13500.00,13418.00,1399-02-23,3801,M 98.46,25559,17, 78.689M, 1.821,5488,10, 59.205M, 21.305
کمرجان,-2.32,48000.00,51470.00,49288.00,1399-05-15,372,M 1.008,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-4.98,50447.00,51470.00,50460.00,1399-05-14,426,M 1.289,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-1.99,51470.00,53639.00,53102.00,1399-05-13,0,441709,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.19,50890.00,55666.00,54178.00,1399-05-12,473,M 1.001,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-3.89,52404.00,55500.00,53018.00,1399-05-11,595,M 1.41,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-3.74,54442.00,60172.00,55162.00,1399-05-08,587,M 2.338,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.23,58861.00,58861.00,57307.00,1399-05-07,224,433644,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.02,57001.00,57695.00,56059.00,1399-05-06,0,394636,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,4.47,53600.00,55227.00,54948.00,1399-05-05,705,M 1.516,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.43,53916.00,53916.00,52598.00,1399-05-04,51,473796,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.50,49000.00,52603.00,51349.00,1399-05-01,398,M 1.993,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,3.84,48500.00,50660.00,50099.00,1399-04-31,596,M 1.634,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,3.99,48717.00,48717.00,48248.00,1399-04-30,175,921306,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.47,46800.00,47544.00,46398.00,1399-04-29,257,596341,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,4.60,45001.00,45452.00,45280.00,1399-04-28,420,M 1.065,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,1.80,44650.00,44650.00,43288.00,1399-04-25,122,422355,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.80,40000.00,43434.00,42524.00,1399-04-24,87,811274,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-3.76,40831.00,43749.00,41366.00,1399-04-23,417,M 1.589,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.82,42100.00,43875.00,42980.00,1399-04-22,0,M 1.066,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-1.70,40398.00,44000.00,41800.00,1399-04-21,278,M 1.673,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-4.28,42204.00,44000.00,42524.00,1399-04-18,416,M 1.224,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-3.47,43723.00,45900.00,44425.00,1399-04-17,0,M 1.293,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,3.04,44665.00,46750.00,46024.00,1399-04-16,0,M 1.309,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,3.62,42600.00,45262.00,44666.00,1399-04-15,0,M 1.565,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-3.86,42598.00,46500.00,43107.00,1399-04-14,0,M 1.6,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,1.62,44000.00,46331.00,44840.00,1399-04-11,593,M 1.405,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,4.31,43100.00,44417.00,44125.00,1399-04-10,487,M 1.13,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-1.66,41000.00,43600.00,42302.00,1399-04-09,419,M 1.063,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-0.67,41491.00,45000.00,43016.00,1399-04-08,440,M 1.787,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,0.55,42608.00,44678.00,43306.00,1399-04-07,588,M 1.247,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.59,40001.00,44082.00,43069.00,1399-04-04,0,M 1.622,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.34,40000.00,43076.00,41983.00,1399-04-03,0,M 2.245,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,3.88,38660.00,41466.00,41025.00,1399-04-02,0,M 1.62,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-4.34,39219.00,41280.00,39492.00,1399-04-01,0,M 2.535,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,0.55,40300.00,42640.00,41283.00,1399-03-31,650,M 1.383,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.05,40502.00,42000.00,41058.00,1399-03-27,500,M 1.051,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.21,38740.00,41332.00,40233.00,1399-03-26,0,M 1.806,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-0.82,38250.00,41399.00,39364.00,1399-03-25,0,916355,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,4.07,39600.00,40041.00,39689.00,1399-03-24,556,M 1.104,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.92,36748.00,38905.00,38135.00,1399-03-21,478,M 1.233,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-4.21,36748.00,39145.00,37053.00,1399-03-20,716,M 1.964,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,0.96,37800.00,40150.00,38682.00,1399-03-19,517,M 1.097,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,3.23,37857.00,38968.00,38313.00,1399-03-18,548,915169,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,2.93,36057.00,37857.00,37113.00,1399-03-17,602,M 1.192,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-0.35,35001.00,37200.00,36055.00,1399-03-13,573,M 1.083,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-1.97,35065.00,37199.00,36183.00,1399-03-12,394,734636,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-2.76,36061.00,38098.00,36910.00,1399-03-11,469,802719,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-0.73,37000.00,39498.00,37958.00,1399-03-10,0,971421,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,-1.24,36784.00,40300.00,38238.00,1399-03-07,750,M 1.193,372,1, 978319M, 30000,486,0, 1.008M, 0
کمرجان,4.75,37500.00,38812.00,38720.00,1399-03-06,631,M 1.718,372,1, 978319M, 30000,486,0, 1.008M, 0
ومعلم,-2.22,18772.00,20700.00,19321.00,1399-05-15,614,M 6.465,614,3, 5.71M, 754296,579,2, 4.424M, 2.041
